#
#This data represents the results of running the PAGER exposure and loss
#algorithms on the output from ShakeMap.
#
#Notes: "Total" in the country column indicates that the results in that row are
#the sum of exposures/losses for all affected countries.
#
#"predicted_fatalities" and "predicted_dollars" are the results of applying loss
#models to the exposure data - note that these values are not guaranteed to
#match the actual losses from the earthquake.
#
id,location,time,latitude,longitude,depth,magnitude,country,pager_version,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9,mmi10,predicted_fatalities,fatality_sigma,predicted_dollars,dollars_sigma
us1000c2zy,"44km E of Great Swan Island, Honduras",2018-01-10 02:51:33.290,17.4825,-83.52,19,7.5,Total,1,0,1388195,27780438,2169310,18989,0,0,0,0,0,0,2.0,116,236.0
us2000cjfy,"38km SSW of Acari, Peru",2018-01-14 09:18:45.540,-15.7675,-74.7092,39,7.1,Total,1,0,370866,16660642,1703021,431932,7803,0,0,0,0,0,2.0,22303,57079.0
us2000cmy3,"280km SE of Kodiak, Alaska",2018-01-23 09:31:40.890,56.0039,-149.1658,14.06,7.9,Total,1,1009,128527,133602,359169,1185,0,0,0,0,0,0,1.0,0,2.0
us2000cqnn,Southwest of Africa,2018-01-28 16:03:03.970,-53.0623,9.6842,10,6.6,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0
us2000d3km,"3km S of San Pedro Jicayan, Mexico",2018-02-16 23:39:39.280,16.3855,-97.9787,22,7.2,Total,1,0,1545838,34123304,33892756,1077112,277753,79653,0,0,0,26,74.0,40578363,120854527.0
us2000d7q6,"83km SW of Porgera, Papua New Guinea",2018-02-25 17:44:44.140,-6.0699,142.7536,25.21,7.5,Total,1,0,41481,2845097,2904272,821299,632125,331179,53771,1525,0,28,76.0,28844610,68668969.0
us2000dcx1,"113km SW of Porgera, Papua New Guinea",2018-03-06 14:13:07.650,-6.3043,142.6116,20.49,6.7,Total,1,0,1168677,4323655,1805316,280889,20586,6,0,0,0,0,2.0,80,190.0
us1000d1kv,"21km ENE of Taron, Papua New Guinea",2018-03-08 17:39:51.100,-4.3762,153.1996,22.86,6.8,Total,1,0,144789,502571,469132,22751,2788,0,0,0,0,0,2.0,7,17.0
us1000d937,"139km E of Kimbe, Papua New Guinea",2018-03-26 09:51:00.430,-5.5024,151.4025,40,6.7,Total,1,2205,1654152,364833,361957,36316,26604,32,0,0,0,0,2.0,201,479.0
us1000db40,"150km E of Kimbe, Papua New Guinea",2018-03-29 21:25:36.790,-5.5321,151.4999,35,6.9,Total,1,0,1504643,434008,372899,34634,30939,8874,0,0,0,0,2.0,35965,85620.0
us1000dce2,"11km NNE of Carandayti, Bolivia",2018-04-02 13:40:34.840,-20.6588,-63.0058,559,6.8,Total,1,166485,7050666,2882798,0,0,0,0,0,0,0,0,2.0,0,2.0
hv70116556,"19km SSW of Leilani Estates, Hawaii",2018-05-04 22:32:54.650,19.3181667,-154.9996667,5.81,6.9,Total,1,0,545776,648431,86013,5506,98632,383,112,0,0,0,1.0,3440835,11289465.0
us1000g3ub,"0km SW of Loloan, Indonesia",2018-08-05 11:46:38.630,-8.2581,116.4375,34,6.9,Total,1,0,67816,35880057,18701423,4121647,1456372,935681,1144762,0,0,483,1241.0,611862700,1510520896.0
us1000ga0z,"51km S of Tanaga Volcano, Alaska",2018-08-15 21:56:56.310,51.4234,-178.0262,33.93,6.5,Total,1,0,0,45,198,0,0,0,0,0,0,0,1.0,0,2.0
us1000gbi4,"114km NNW of Nggilat, Indonesia",2018-08-17 15:35:01.890,-7.3718,119.8017,529,6.5,Total,1,1519482,24289503,2910444,0,0,0,0,0,0,0,0,2.0,0,2.0
us1000gcii,"286km NNE of Ndoi Island, Fiji",2018-08-19 00:19:40.670,-18.1125,-178.153,600,8.2,Total,1,0,0,66471,966436,180,0,0,0,0,0,0,2.0,0,2.0
us1000gda5,"1km S of Belanting, Indonesia",2018-08-19 14:56:27.490,-8.319,116.6272,21,6.9,Total,1,246515,39535608,12719563,5003426,1034238,1197,0,0,0,0,0,1.0,8,20.0
